assigned_who,fixed_bugs,total_reports,fixed_bugs_ratio
5497,1,2,0.5
5521,1,2,0.5
5539,0,3,0.0
5544,137,221,0.6199095022624435
5571,18,45,0.4
5586,173,395,0.4379746835443038
5589,0,2,0.0
5590,16,40,0.4
5624,352,984,0.35772357723577236
5633,0,3,0.0
5695,0,2,0.0
5718,2,6,0.3333333333333333
5751,0,2,0.0
5755,0,2,0.0
5778,0,2,0.0
5803,0,2,0.0
5806,1,2,0.5
5845,1,2,0.5
5849,0,3,0.0
5871,0,3,0.0
5892,205,482,0.42531120331950206
5894,1,2,0.5
5923,64,102,0.6274509803921569
5942,0,3,0.0
5947,1,6,0.16666666666666666
6026,0,3,0.0
6083,0,2,0.0
6115,0,8,0.0
6121,0,2,0.0
6210,2,10,0.2
6242,0,2,0.0
6259,2,10,0.2
6263,1,3,0.3333333333333333
6269,1,3,0.3333333333333333
6333,2,4,0.5
6367,0,2,0.0
6396,0,2,0.0
6457,2,6,0.3333333333333333
6462,0,3,0.0
6464,0,2,0.0
6465,0,19,0.0
6500,0,3,0.0
6534,0,2,0.0
6535,0,2,0.0
6552,268,689,0.3889695210449927
6555,0,2,0.0
6573,1,2,0.5
6607,1,4,0.25
6654,1,2,0.5
6669,0,2,0.0
6673,16,32,0.5
6676,0,6,0.0
6729,0,2,0.0
6748,1,3,0.3333333333333333
6749,0,2,0.0
6761,0,2,0.0
6785,1,3,0.3333333333333333
6808,13,29,0.4482758620689655
6816,0,3,0.0
6830,1,6,0.16666666666666666
6840,2,4,0.5
6876,1,2,0.5
6887,2,12,0.16666666666666666
6916,1,2,0.5
6919,0,2,0.0
6946,2,6,0.3333333333333333
6965,2,3,0.6666666666666666
6974,0,2,0.0
6985,1,5,0.2
7102,1,2,0.5
7111,0,2,0.0
7120,1,2,0.5
7212,0,2,0.0
7223,0,4,0.0
7238,9,23,0.391304347826087
7241,0,2,0.0
7266,0,2,0.0
7435,1,2,0.5
7472,0,2,0.0
7518,1,2,0.5
7525,0,2,0.0
7543,1,4,0.25
7557,0,2,0.0
7628,0,2,0.0
7667,0,2,0.0
7700,0,2,0.0
7709,0,2,0.0
7714,0,2,0.0
7721,0,4,0.0
7728,0,2,0.0
7729,0,2,0.0
7746,0,2,0.0
7773,0,10,0.0
7814,1,2,0.5
7859,0,2,0.0
7860,1,2,0.5
7919,1540,4087,0.3768045020797651
7920,29,93,0.3118279569892473
7931,0,2,0.0
7995,0,2,0.0
8011,916,1646,0.5565006075334143
8052,1,2,0.5
8067,0,2,0.0
8081,9,76,0.11842105263157894
8112,1,2,0.5
8126,248,536,0.4626865671641791
8129,4,17,0.23529411764705882
8130,0,2,0.0
8132,0,2,0.0
8134,0,2,0.0
8174,1,2,0.5
8225,15,34,0.4411764705882353
8236,0,2,0.0
8268,0,6,0.0
8272,0,2,0.0
8296,0,2,0.0
8338,0,2,0.0
